Species,geology & topography,habitat,ecodistrict,plant_growth_form,Fire response,Post-fire recovery and flowering,Conservation Code,Primary Juvenile Period (months),Primary Juvenile Period -value 1,juvenile period value type 1,Primary Juvenile Period -value 2,juvenile period value type 2
Banskia calophylla,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,RS/OSC,,,,,,,
Banksia coccinea,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium to slow,,,,,,
Banksia grandis,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,RS,,,,,,,
Banksia mucronulata,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium,,,,,,
Banksia nutans,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,slow,,,,,,
Banksia obovata,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium,,,,,,
Banksia oreophila,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium to slow,,,,,,
Banksia plumosa subsp. denticulata,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium,,,,,,
Banksia sessilis,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium,,,,,,
Beaufortia anisandra,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium to slow,,,,,,
Beaufortia cyrodonta,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium,,,,,,
Beaufortia schaueri,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,,,,,,,
Calothamnus affinis,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium,,,,,,
Calothamnus sanguineus,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,RS,,,,,,,
Conospermum dorrienii,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSS,,,,,,,
Darwinia meeboldii,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSS,medium,,,,,,
Darwinia oxylepis,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSS,medium,,,,,,
Daviesia crenulata,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSS,,,,,,,
Grevillea pulchella,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSS,,,,,,,
Hakea ambigua,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium,,,,,,
Hakea baxteri,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,,,,,,,
Hakea corymbosa,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,slow,,,,,,
Hakea cucullata,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium to slow,,,,,,
Hakea denticulata,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC?,,,,,,,
Hakea ferruginea,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium to slow,,,,,,
Hakea lehmanniana,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,RS?,,,,,,,
Hakea crassifolia subsp. pandanicarpa,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,slow,,,,,,
Hakea ruscifolia,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,RS,,,,,,,
Hakea trifurcata,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,slow,,,,,,
Hakea undulata,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,slow,,,,,,
Hibbertia helianthemoides,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSS,,,,,,,
Isopogon baxteri,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium,,,,,,
Kunzea montana,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSS,medium to slow,,,,,,
Lambertia ericifolia,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium,,,,,,
Leucopogon mollis,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSS,,,,,,,
Melaleuca pungens,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,,,,,,,
Petrophile anceps,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,,,,,,,
Petrophile carduacea,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,,,,,,,
Petrophile longifolia,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,,,,,,,
Petrophile serruriae,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium to slow,,,,,,
Petrophile squamata,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,slow,,,,,,
Stirlingia tenuifolia,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSS,medium,,,,,,
Taxandria spathulata,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,RS/OSC,,,,,,,
Eucalyptus conferruminata,"Quartzite Schizt, Quoin Head, Marshes, Two Bump",Low Woodland,Quartzite,tree,OSC,slow,,,,,,
Eucalyptus mcquoidii,"Quartzite Schizt, Quoin Head, Marshes, Two Bump",Low Woodland,Quartzite,tree,OSC,slow,,,,,,
Eucalyptus redunca,"Quartzite Schizt, Quoin Head, Marshes, Two Bump",Low Woodland,Quartzite,tree,RS,,,,,,,
Hakea cucullata,"Quartzite Schizt, Quoin Head, Marshes, Two Bump",Low Woodland,Quartzite,shrub,OSC,medium to slow,,,,,,
Eucalyptus cernua,Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,tree,OSC,slow,,,,,,
Eucalyptus astringens subsp. 'kundip',Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,tree,OSC,slow,,,,,,
Eucalyptus clivicola,Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,tree,OSC,slow,,,,,,
Eucalyptus pileata,Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,tree,RS,,,,,,,
Eucalyptus platypus,Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,tree,OSC,slow,,,,,,
Calothamnus pinifolius,Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,shrub,OSC,,,,,,,
Daviesia emarginata,Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,shrub,RS/OSS,,,,,,,
Daviesia pachyphylla,Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,shrub,RS/OSS,,,,,,,
Gastrolobium racemosum,Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,shrub,OSS,,,,,,,
Melaleuca bracteosa,Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,shrub,,,,,,,,
Melaleuca sp. Kundip,Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,shrub,OSC,,,,,,,
Melaleuca stramentosa,Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,shrub,OSC,,,,,,,
Melaleuca haplantha,Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,shrub,OSC,,,,,,,
Melaleuca rigidifolia,Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,shrub,OSC,,,,,,,
Melaleuca pauperiflora,Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,shrub,OSC,,,,,,,
Melaleuca undulata,Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,shrub,OSC,,,,,,,
Pultenaea craigiana,Melaleuca sp Kundip Mallet over Heath PEC,Mallet /heath,Quartzite,shrub,OSS?,,,,,,,
Banksia lemmaniana,Melaleuca stramentosa /lemanniana,Thicket,Quartzite,shrub,OSC,slow,,,,,,
Melaleuca stramentosa,Melaleuca stramentosa /lemanniana,Thicket,Quartzite,shrub,OSC,,,,,,,
Callitris preissii,Coastal Mallet - Melaleuca shrubland,Mallet woodland / shrubland,Coastal dynamic,tree,OSC,slow,,,,,,
Eucalyptus utilis,Coastal Mallet - Melaleuca shrubland,Mallet woodland / shrubland,Coastal dynamic,tree,OSC,slow,,,,,,
Eucalyptus megacornuta,Coastal Mallet - Melaleuca shrubland,Mallet woodland / shrubland,Coastal dynamic,tree,OSC,slow,,,,,,
Eucalyptus platypus,Coastal Mallet - Melaleuca shrubland,Mallet woodland / shrubland,Coastal dynamic,tree,OSC,slow,,,,,,
Calothamnus quadrifidus,Coastal Mallet - Melaleuca shrubland,Mallet woodland / shrubland,Coastal dynamic,shrub,RS,,,,,,,
Melaleuca nesophila,Coastal Mallet - Melaleuca shrubland,Mallet woodland / shrubland,Coastal dynamic,shrub,OSC,,,,,,,
Melaleuca lanceolata,Coastal Mallet - Melaleuca shrubland,Mallet woodland / shrubland,Coastal dynamic,shrub,OSC,slow,,,,,,
Chamelaucium axillare,Coastal Mallet - Melaleuca shrubland,Mallet woodland / shrubland,Coastal dynamic,shrub,OSS,,,,,,,
Eucalyptus cuspidata,Estuarine woodland - Melaleuca shrubland,Woodland/ shrubland,Coastal dynamic,tree,,,,,,,,
Eucalyptus occidentalis,Estuarine woodland - Melaleuca shrubland,Woodland/ shrubland,Coastal dynamic,tree,RSep/OSC,,,,,,,
Eucalyptus occidentalis x Eucalyptus utilis,Estuarine woodland - Melaleuca shrubland,Woodland/ shrubland,Coastal dynamic,tree,OSC,,,,,,,
Melalaueca nesophila,Estuarine woodland - Melaleuca shrubland,Woodland/ shrubland,Coastal dynamic,tree,OSC,,,,,,,
Agonis flexuosa,Estuarine woodland - Melaleuca shrubland,Woodland/ shrubland,Coastal dynamic,tree,OSC,,,,,,,
Acacia cyclops,Estuarine woodland - Melaleuca shrubland,Woodland/ shrubland,Coastal dynamic,shrub,OSS,,,,,,,
Acacia littorea,Estuarine woodland - Melaleuca shrubland,Woodland/ shrubland,Coastal dynamic,shrub,OSS,,,,,,,
Kennedia nigricans,Estuarine woodland - Melaleuca shrubland,Woodland/ shrubland,Coastal dynamic,shrub,OSS,,,,,,,
Spryidium globulosum,Estuarine woodland - Melaleuca shrubland,Woodland/ shrubland,Coastal dynamic,shrub,OSS,,,,,,,
Thomasia sp.,Estuarine woodland - Melaleuca shrubland,Woodland/ shrubland,Coastal dynamic,shrub,,,,,,,,
Acacia littorea,Banksia praemorsa shrubland,Shrubland,Coastal dynamic,shrub,OSS,,,,,,,
Acrotriche cordata,Banksia praemorsa shrubland,Shrubland,Coastal dynamic,shrub,,,,,,,,
Adenanthos sericeous,Banksia praemorsa shrubland,Shrubland,Coastal dynamic,shrub,OSS,,,,,,,
Banksia praemorsa,Banksia praemorsa shrubland,Shrubland,Coastal dynamic,shrub,OSC,medium,,,,,,
Banksia sessilis,Banksia praemorsa shrubland,Shrubland,Coastal dynamic,shrub,OSC,medium,,,,,,
Jacksonia horrida,Banksia praemorsa shrubland,Shrubland,Coastal dynamic,shrub,,,,,,,,
Melaleuca thymoides,Banksia praemorsa shrubland,Shrubland,Coastal dynamic,shrub,RS,,,,,,,
Pultenaeae heteroclita,Banksia praemorsa shrubland,Shrubland,Coastal dynamic,shrub,,,,,,,,
Spyridium globulosum,Banksia praemorsa shrubland,Shrubland,Coastal dynamic,shrub,OSS,rapid,,,,,,
Templetonia retusa,Banksia praemorsa shrubland,Shrubland,Coastal dynamic,shrub,OSS,medium,,,,,,
Desmocladus flexuosa,Banksia praemorsa shrubland,Shrubland,Coastal dynamic,sedge,,,,,,,,
Lepidosperma 'dense',Banksia praemorsa shrubland,Shrubland,Coastal dynamic,sedge,,,,,,,,
Eucalyptus wandoo,Riverine Wandoo Flooded gum woodland,Woodland,Marine plain,tree,RS ep/OSC,,,,,,,
Eucalyptus occidentalis,Riverine Wandoo Flooded gum woodland,Woodland,Marine plain,tree,RS ep/OSC,,,,,,,
Hakea lissocarpha,Riverine Wandoo Flooded gum woodland,Woodland,Marine plain,shrub,RS,,,,,,,
Eucalyptus rudis,Riverine Wandoo Flooded gum woodland,Woodland,Marine plain,tree,RS ep,,,,,,,
Banksia littoralis,Swamp Yate woodlands in seasonally inundated clay basins PEC/ Riverine Yate woodland,Woodland,Marine plain,tree,RS ep,,,,,,,
Eucalyptus decipiens,Swamp Yate woodlands in seasonally inundated clay basins PEC/ Riverine Yate woodland,Woodland,Marine plain,tree,RS,,,,,,,
Eucalyptus occidentalis,Swamp Yate woodlands in seasonally inundated clay basins PEC/ Riverine Yate woodland,Woodland,Marine plain,tree,RS ep/OSC,,,,,,,
Melaleuca cuticularis,Swamp Yate woodlands in seasonally inundated clay basins PEC/ Riverine Yate woodland,Woodland,Marine plain,tree,RS ep,,,,,,,
Melaleuca preissiana,Swamp Yate woodlands in seasonally inundated clay basins PEC/ Riverine Yate woodland,Woodland,Marine plain,tree,RS ep,,,,,,,
Banksia dyandroides,Swamp Yate woodlands in seasonally inundated clay basins PEC/ Riverine Yate woodland,Woodland,Marine plain,shrub,OSC,,,,,,,
Hakea denticulata,Swamp Yate woodlands in seasonally inundated clay basins PEC/ Riverine Yate woodland,Woodland,Marine plain,shrub,OSC,,,,,,,
Hakea nitida,Swamp Yate woodlands in seasonally inundated clay basins PEC/ Riverine Yate woodland,Woodland,Marine plain,shrub,RS,,,,,,,
Kunzea recurva,Swamp Yate woodlands in seasonally inundated clay basins PEC/ Riverine Yate woodland,Woodland,Marine plain,shrub,OSS/RS,rapid to medium,,,,,,
Melaleuca suberosa,Swamp Yate woodlands in seasonally inundated clay basins PEC/ Riverine Yate woodland,Woodland,Marine plain,shrub,RS,,,,,,,
Pericalymma ellipticum,Swamp Yate woodlands in seasonally inundated clay basins PEC/ Riverine Yate woodland,Woodland,Marine plain,shrub,RS,,,,,,,
Petrophile squamata,Swamp Yate woodlands in seasonally inundated clay basins PEC/ Riverine Yate woodland,Woodland,Marine plain,shrub,OSC,slow,,,,,,
Anarthria laevis,Swamp Yate woodlands in seasonally inundated clay basins PEC/ Riverine Yate woodland,Woodland,Marine plain,graminoid,RS,,,,,,,
Gahnia trifida,Swamp Yate woodlands in seasonally inundated clay basins PEC/ Riverine Yate woodland,Woodland,Marine plain,graminoid,RS,,,,,,,
Eucalyptus annulata,Moort low forest,Moort forest,Marine plain,tree,RS,,,,,,,
Eucalyptus platypus subsp. platypus,Moort low forest,Moort forest,Marine plain,tree,OSC,slow,,,,,,
Eucalyptus praetermissa,Moort low forest,Moort forest,Marine plain,tree,OSC,slow,,,,,,
Eucalyptus vesiculosa,Moort low forest,Moort forest,Marine plain,tree,OSC,slow,,,,,,
Eucalyptus melanophitra,Moort low forest,Moort forest,Marine plain,tree,OSC,slow,,,,,,
Eucalyptus newbyii,Moort low forest,Moort forest,Marine plain,tree,OSC,slow,,,,,,
Eucalytpus redacta,Moort low forest,Moort forest,Marine plain,tree,OSC,slow,,,,,,
Acacia glaucoptera,Moort low forest,Moort forest,Marine plain,shrub,OSS,rapid,,,,,,
Melaleuca acuminata,Moort low forest,Moort forest,Marine plain,shrub,OSC,medium,,,,,,
Eucalyptus anceps,Eucalyptus nutans mallet woodland,Mallet Woodland,Marine plain,tree,RS,,,,,,,
Eucalyptus nutans,Eucalyptus nutans mallet woodland,Mallet Woodland,Marine plain,tree,OSC,slow,,,,,,
Eucalyptus ocidentalis,Eucalyptus nutans mallet woodland,Mallet Woodland,Marine plain,tree,RS ep/OSC,,,,,,,
Acacia cyclops,Eucalyptus nutans mallet woodland,Mallet Woodland,Marine plain,shrub,OSS,,,,,,,
Acacia glaucoptera,Eucalyptus nutans mallet woodland,Mallet Woodland,Marine plain,shrub,OSS,rapid,,,,,,
Hakea laurina,Eucalyptus nutans mallet woodland,Mallet Woodland,Marine plain,shrub,OSC,slow,,,,,,
Melaleuca undulata,Eucalyptus nutans mallet woodland,Mallet Woodland,Marine plain,shrub,OSC,,,,,,,
Melaleuca subfalcata,Eucalyptus nutans mallet woodland,Mallet Woodland,Marine plain,shrub,,,,,,,,
Rhadinothamnus rudis,Eucalyptus nutans mallet woodland,Mallet Woodland,Marine plain,shrub,,,,,,,,
Eucalyptus brandiana,Eucalyptus brandiana woodland/mallee mix,Woodland/ mallee,Marine plain,,OSC,slow,,,,,,
Allocasuarina trichodon,Mallet woodlands and shrublands on spongelite,Mallet woodland / shrubland,Marine plain,tree,OSC,slow,,,,,,
Eucalyptus melanophitra,Mallet woodlands and shrublands on spongelite,Mallet woodland / shrubland,Marine plain,tree,OSC,slow,,,,,,
Eucalyptus astringens subsp. redacta,Mallet woodlands and shrublands on spongelite,Mallet woodland / shrubland,Marine plain,tree,OSC,slow,,,,,,
Eucalyptus praeterissima,Mallet woodlands and shrublands on spongelite,Mallet woodland / shrubland,Marine plain,tree,OSC,slow,,,,,,
Eucalyptus arborella,Mallet woodlands and shrublands on spongelite,Mallet woodland / shrubland,Marine plain,tree,OSC,slow,,,,,,
Banksia armata,Mallet woodlands and shrublands on spongelite,Mallet woodland / shrubland,Marine plain,shrub,RS,,,,,,,
Banksia ionthocarpa subsp. ionthocarpa,Mallet woodlands and shrublands on spongelite,Mallet woodland / shrubland,Marine plain,shrub,OSC,slow,,,,,,
Banksia laevigata subsp. laevigata,Mallet woodlands and shrublands on spongelite,Mallet woodland / shrubland,Marine plain,shrub,OSC,slow,,,,,,
Calothamnus quadridus,Mallet woodlands and shrublands on spongelite,Mallet woodland / shrubland,Marine plain,shrub,RS,,,,,,,
Calothamnus robustus,Mallet woodlands and shrublands on spongelite,Mallet woodland / shrubland,Marine plain,shrub,OSC?,,,,,,,
Kunzea pauciflora,Mallet woodlands and shrublands on spongelite,Mallet woodland / shrubland,Marine plain,shrub,OSS,medium,,,,,,
Verticordia fastigiata,Mallet woodlands and shrublands on spongelite,Mallet woodland / shrubland,Marine plain,shrub,OSS,,,,,,,
Verticordia helicrysantha,Mallet woodlands and shrublands on spongelite,Mallet woodland / shrubland,Marine plain,shrub,OSS,medium,,,,,,
Verticordia crebra,Mallet woodlands and shrublands on spongelite,Mallet woodland / shrubland,Marine plain,shrub,OSS,rapid,,,,,,
Vericorida longistylis,Mallet woodlands and shrublands on spongelite,Mallet woodland / shrubland,Marine plain,shrub,OSS?,,,,,,,
Banksia attenuata,Banksia shrublands,Shrubland,Marine plain,shrub,RS/OSC,,,,,,,
Banksia baueri,Banksia shrublands,Shrubland,Marine plain,shrub,OSC,slow,,,,,,
Banksia baxteri,Banksia shrublands,Shrubland,Marine plain,shrub,OSC,slow,,,,,,
Banksia coccinea,Banksia shrublands,Shrubland,Marine plain,shrub,OSC,medium to slow,,,,,,
Banksia dryandoides,Banksia shrublands,Shrubland,Marine plain,shrub,OSC,medium,,,,,,
Banksia lemanniana,Banksia shrublands,Shrubland,Marine plain,shrub,OSC,medium to slow,,,,,,
Banksia media,Banksia shrublands,Shrubland,Marine plain,shrub,OSC,medium to slow,,,,,,
Banksia nutans,Banksia shrublands,Shrubland,Marine plain,shrub,OSC,slow,,,,,,
Banksia obovata,Banksia shrublands,Shrubland,Marine plain,shrub,OSC,medium,,,,,,
Banksia violacea,Banksia shrublands,Shrubland,Marine plain,shrub,OSC,medium to slow,,,,,,
Beaufortia empetrifolia,Banksia shrublands,Shrubland,Marine plain,shrub,OSC,medium,,,,,,
Conospermum distichium,Banksia shrublands,Shrubland,Marine plain,shrub,RS/OSS,medium,,,,,,
Daviesia incrassata spp. reversifolia,Banksia shrublands,Shrubland,Marine plain,shrub,RS/OSS,,,,,,,
Hakea victoriae,Banksia shrublands,Shrubland,Marine plain,shrub,OSC,medium to slow,,,,,,
Hakea corymbosa,Banksia shrublands,Shrubland,Marine plain,shrub,OSC,slow,,,,,,
Isopogon trilobus,Banksia shrublands,Shrubland,Marine plain,shrub,OSC,medium to slow,,,,,,
Lambertia inermis,Banksia shrublands,Shrubland,Marine plain,shrub,OSC,medium,,,,,,
Melaleuca striata,Banksia shrublands,Shrubland,Marine plain,shrub,RS,,,,,,,
Petrophile ericifolia,Banksia shrublands,Shrubland,Marine plain,shrub,OSS,,,,,,,
Petrophile phyllicoides,Banksia shrublands,Shrubland,Marine plain,shrub,OSC,slow,,,,,,
Petrophile teretifolia,Banksia shrublands,Shrubland,Marine plain,shrub,RS/OSC,medium,,,,,,
Stirlingia tenuifolia,Banksia shrublands,Shrubland,Marine plain,shrub,RS/OSS,medium,,,,,,
Eucalyptus decipiens,Banksia / Hakea dominated mallee-heath,Mallee Shrublands,Marine plain,mallee,RS ep,,,,,,,
Eucalyptus decurva,Banksia / Hakea dominated mallee-heath,Mallee Shrublands,Marine plain,mallee,RS,,,,,,,
Eucalyptus falcata,Banksia / Hakea dominated mallee-heath,Mallee Shrublands,Marine plain,mallee,RS,,,,,,,
Eucalyptus marginata,Banksia / Hakea dominated mallee-heath,Mallee Shrublands,Marine plain,mallee,RS ep,,,,,,,
Eucalyptus staeri,Banksia / Hakea dominated mallee-heath,Mallee Shrublands,Marine plain,mallee,RS ep,,,,,,,
Eucalyptus pleurocarpa,Banksia / Hakea dominated mallee-heath,Mallee Shrublands,Marine plain,mallee,RS ep,,,,,,,
Eucalyptus tetraptera,Banksia / Hakea dominated mallee-heath,Mallee Shrublands,Marine plain,mallee,RS,,,,,,,
Allocasuarina trichodon,Banksia / Hakea dominated mallee-heath,Mallee Shrublands,Marine plain,shrub,OSC,slow,,,,,,
Allocasuarina microstachys,Banksia / Hakea dominated mallee-heath,Mallee Shrublands,Marine plain,shrub,RS,,,,,,,
Banksia attenuata,Banksia / Hakea dominated mallee-heath,Mallee Shrublands,Marine plain,shrub,RS,,,,,,,
Banksia baueri,Banksia / Hakea dominated mallee-heath,Mallee Shrublands,Marine plain,shrub,OSC,slow,,,,,,
Banksia brunnea,Banksia / Hakea dominated mallee-heath,Mallee Shrublands,Marine plain,shrub,OSC,medium,,,,,,
Banksia dryandoides,Banksia / Hakea dominated mallee-heath,Mallee Shrublands,Marine plain,shrub,OSC,medium,,,,,,
Banksia drummondii,Banksia / Hakea dominated mallee-heath,Mallee Shrublands,Marine plain,shrub,OSC,medium,,,,,,
