Spp No,VBA TAXON_ID,Species,Common Name,"PERSEED D, S, G, C, Z (F=inadequate data)","PERVEG V, U, W, N, X (F=inadequate data)","T, I, R, M, K (F=inadequate data)","JUVEN 1, 2, 5, 10, 20, 40 (F=inadequate data)","SPP LIFE 3, 10, 20, 50, 100 (F=inadequate data)","INDIV LIFE A, ASP, B, SP, MP, LP (F = inadequate data)","GEOPHYTE Y, N",MINTFI: Y,VIC ADV,"KFRS: 1, 2, 3, N",REFERENCES  ,
187,500187,Alyssum linifolium,Flax-leaf Alyssum,,,,,,,,,,,,
188,500188,Alyxia buxifolia,Sea Box,,,,,,,,,,,,
189,500189,Amaranthus albus,Stiff Tumbleweed,,,,,,,,,,,,
190,500190,Amaranthus caudatus,Love-lies-bleeding,,,,,,,,,,,,
5167,505167,Amaranthus cruentus,Redshank,,,,,,,,,,,,
191,500191,Amaranthus deflexus,Spreading Amaranth,,,,,,,,,,,,
192,,Amaranthus graecizans,,,,,,,,,,,,,
193,500193,Amaranthus grandiflorus,Large-flower Amaranth,,,,,,,,,Vulnerable,,,
194,500194,Amaranthus hybridus,Spleen Amaranth,,,,,,,,,,,,
195,514944,Amaranthus macrocarpus,,,,,,,,,,,,,
196,500196,Amaranthus muricatus,Rough-fruit Amaranth,,,,,,,,,,,,
197,500197,Amaranthus powellii,Powell's Amaranth,,,,,,,,,,,,
198,500198,Amaranthus retroflexus,Red-root Amaranth,,,,,,,,,,,,
199,500199,Amaranthus viridis,Green Amaranth,,,,,,,,,,,,
3643,503643,Amaryllis belladonna,Belladonna Lily,,,,,,,,,,,,
5657,505657,Ambrosia artemisiifolia,Common Ragweed,,,,,,,,,,,,
200,500200,Ambrosia psilostachya,Perennial Ragweed,,,,,,,,,,,,
201,500201,Ambrosia tenuifolia,Lacy Ragweed,,,,,,,,,,,,
202,500202,Ammannia multiflora,Jerry-jerry,,,,,,,,,Vulnerable,,,
203,500203,Ammi majus,Bishop's Weed,,,,,,,,,,,,
204,500204,Ammobium alatum,Winged Everlasting,,,,,,,,,Rare,,,
205,500205,Ammophila arenaria,Marram Grass,,,,,,,,,,,,
206,500206,Amperea xiphoclada,,C,N,T,1,50,LP,N,,,3,"[5], 55, 68, 70","PERVEG = V, TIRMK = T, JUVEN = 2 [5]"
207,500207,Amphibolis antarctica,Sea Nymph,,,,,,,,,Poorly known,,,
208,500208,Amphibromus archeri,Pointed Swamp Wallaby-grass,,,,,,,,,,,,
3623,503623,Amphibromus fluitans,River Swamp Wallaby-grass,,,,,,,,,,,,
4227,504227,Amphibromus macrorhinus,Long-nosed Swamp Wallaby-grass,,,,,,,,,,,,
210,500210,Amphibromus neesii,Southern Swamp Wallaby-grass,,X,T,1,20,ASP,,,,3,,
3628,503628,Amphibromus nervosus,Common Swamp Wallaby-grass,F,U,T,1,20,ASP,,,,3,75,
3624,503624,Amphibromus pithogastrus,Plump Swamp Wallaby-grass,,,,,,,,,Endangered,,,
211,500211,Amphibromus recurvatus,Dark Swamp Wallaby-grass,,X,T,1,20,ASP,,,,3,,
3625,503625,Amphibromus sinuatus,Wavy Swamp Wallaby-grass,,,,,,,,,Vulnerable,,,
212,514950,Amphipogon caricinus,,F,W,,2,3,MP,N,,,N,1,SPP LIFE = 5 [MK]
213,500213,Amphipogon strictus,Grey-beard Grass,,F,T,2,50,LP,,,,N,,
214,500214,Amsinckia calycina,Hairy Fiddle-neck,,,,,,,,,,,,
215,500215,Amsinckia intermedia,Common Fiddle-neck,,,,,,,,,,,,
216,500216,Amsinckia lycopsoides,Bugloss Fiddle-neck,,,,,,,,,,,,
3634,503634,Amsinckia menziesii,Rigid Fiddle-neck,,,,,,,,,,,,
217,,Amyema linophylla,,D,F,R,5,100,MP,N,,,,58,
218,500218,Amyema miquelii,Box Mistletoe,D,F,R,5,100,MP,N,,,2,58,
219,,Amyema miraculosa,,D,F,R,5,100,MP,N,,,2,58,
220,500220,Amyema pendula,Drooping Mistletoe,D,F,R,5,100,MP,N,,,,58,
5168,505168,Amyema pendula subsp. longifolia,Drooping Mistletoe,D,F,R,5,100,MP,N,,Rare,,58,
5169,505169,Amyema pendula subsp. pendula (s.s.),Drooping Mistletoe,D,F,R,5,100,MP,N,,,2,55,
221,500221,Amyema preissii,Wire-leaf Mistletoe,D,F,R,5,100,MP,N,,,,58,
222,,Amyema quandang,,D,F,R,5,100,MP,N,,,,58,
223,500223,Anagallis arvensis,,C,X,T,1,50,A,N,,,N,,
5170,505170,Anagallis arvensis var. arvensis,,,,,,,,,,,,,
5171,505171,Anagallis arvensis var. caerulea,,,,,,,,,,,,,
224,500224,Anagallis minima,,,,,,,,,,,,,
225,500225,Anchusa arvensis,Bugloss,,,,,,,,,,,,
226,500226,Anchusa capensis,Cape Forget-me-not,,,,,,,,,,,,
4527,504527,Andropogon virginicus,Whisky Grass,,,,,,,,,,,,
227,500227,Angianthus brachypappus,Spreading Angianthus,,,,,,,,,Vulnerable,,,
228,500228,Angianthus preissianus,Salt Angianthus,D,X,T,1,50,A,N,,,,62,
229,500229,Angianthus tomentosus,Hairy Angianthus,,,,,,,,,,,,
5389,514957,Angophora costata,,,,,,,,,,,,,
230,500230,Angophora floribunda,Rough-barked Apple,,,,,,,,,Rare,,,
231,500231,Anisopogon avenaceus,Oat Spear-grass,C,N,I,2,10,SP,N,,,,55,
232,500232,Anogramma leptophylla,Annual Fern,,,,,,,,,,,,
3632,503632,Anredera cordifolia,Madeira Vine,,,,,,,,,,,,
233,500233,Anthemis arvensis,Field Chamomile,,,,,,,,,,,,
234,500234,Anthemis cotula,Stinking Mayweed,,,,,,,,,,,,
146,515630,Anthosachne scabra,,F,U,T,1,100,MP,N,,,N,"[9], 12, 43, 75",PERVEG = V [9]; JUVEN = 2 [43]
235,500235,Anthoxanthum aristatum,Annual Vernal-grass,,,,,,,,,,,,
236,500236,Anthoxanthum odoratum,Sweet Vernal-grass,D,U,T,1,100,ASP,N,,,N,"[4], 33, 43",PERSEED = S [4]; JUVEN = 2 [43]
7321,507321,Anthyllis vulneraria,Kidney Vetch,,,,,,,,,,,,
237,500237,Aotus ericoides,Common Aotus,S,N,I,5,50,LP,N,,,2,"[5], 55","PERVEG = V, TIRMK = T, JUVEN = 2 [5]"
3629,503629,Aotus subspinescens,Mallee Aotus,S,V,I,5,100,LP,N,,,N,"1, 19",
238,500238,Apalochlamys spectabilis,Showy Cassinia,,,,,,,,,,,,
5919,505919,Apera interrupta,Dense Silky-bent,,,,,,,,,,,,
239,500239,Aphanes arvensis,Parsley Piert,S,X,T,1,100,A,N,,,N,4,
240,500240,Aphanes australiana,Australian Piert,D,,T,1,100,A,,,,N,,
3698,503698,Aphanes microcarpa,,,,,,,,,,,,,
4148,504148,Aphanopetalum resinosum,Gum Vine,,,,,,,,,Vulnerable,,,
242,500242,Aphelia gracilis,Slender Aphelia,G,X,T,1,100,A,N,,,N,,
243,500243,Aphelia pumilio,Dwarf Aphelia,G,X,T,1,100,A,N,,,N,,
244,500244,Apium annuum,Annual Celery,,,,,,,,,,,,
245,500245,Apium graveolens,Celery,,,,,,,,,,,,
246,500246,Apium insulare,Island Celery,,,,,,,,,Vulnerable,,,
247,500247,Apium prostratum subsp. prostratum,Sea Celery,,,,,,,,,,,,
1937,501937,Apodasmia brownii,Coarse Twine-rush,,,,,,,,,,,,
248,500248,Aponogeton distachyos,Cape Pondlily,,,,,,,,,,,,
249,500249,Aptenia cordifolia,Heart-leaf Ice-plant,,,,,,,,,,,,
4915,504915,Aquilegia vulgaris,Columbine,,,,,,,,,,,,
250,500250,Arabidella nasturtium,Yellow Cress,,,,,,,,,Poorly known,,,
251,500251,Arabidella trisecta,Shrubby Cress,,,,,,,,,,,,
252,500252,Araujia sericifera,White Bladder-flower,,,,,,,,,,,,
253,500253,Arbutus unedo,Irish Strawberry Tree,,,,,,,,,,,,
254,500254,Arctium lappa,Burdock,,,,,,,,,,,,
255,500255,Arctotheca calendula,Cape weed,D,,T,1,100,A,,,,N,,
3718,503718,Arctotheca populifolia,Beach Daisy,,,,,,,,,,,,
256,500256,Arctotheca prostrata,Creeping Bear's-ear,,,,,,,,,,,,
257,500257,Arctotis stoechadifolia,White Arctotis,,,,,,,,,,,,
258,500258,Arenaria leptoclados,Lesser Thyme-leaved Sandwort,,,,,,,,,,,,
259,500259,Arenaria serpyllifolia subsp. serpyllifolia,Thyme-leaved Sandwort,,,,,,,,,,,,
260,,Argemone ochroleuca,,,,,,,,,,,,,
1610,501610,Argentipallium blandowskianum,Woolly Everlasting,G,X,I,1,100,ASP,N,,,2,1,
1615,501615,Argentipallium dealbatum,Silver Everlasting,,,,,,,,,Rare,,,
1621,501621,Argentipallium obtusifolium,Blunt Everlasting,G,,I,1,100,ASP,,,,2,,
7324,507324,Argyranthemum frutescens,Marguerite,,,,,,,,,,,,
7335,507335,Argyranthemum frutescens subsp. foeniculaceum,Tenerife Daisy,,,,,,,,,,,,
7326,507326,Argyranthemum frutescens subsp. frutescens,Marguerite,,,,,,,,,,,,
1463,501463,Argyrotegium fordianum,Alpine Cudweed,Z,U,T,2,100,SP,Y,,,3,"[3], [4], 26, 28","PERSEED = C[3], PERSEED = D[4]; JUVEN = 1 [4]"
1467,501467,Argyrotegium nitidulum,Shining Cudweed,,,,,,,,,Rare,,,
4519,504519,Argyrotegium poliochlorum,Grey-green Cudweed,,,,,,,,,Rare,,,
5778,514975,Arisarum vulgare,,,,,,,,,,,,,
3774,503774,Aristea ecklonii,Blue Stars,,,,,,,,,,,,
261,500261,Aristida behriana,Brush Wire-grass,,W,T,1,100,MP,,,,N,,
3630,503630,Aristida calycina var. calycina,Dark Wire-grass,,,,,,,,,Rare,,,
263,500263,Aristida contorta,Sand Wire-grass,,,,,,,,,,,,
262,,Aristida holathera,,,,,,,,,,,,,
4631,504631,Aristida jerichoensis,,S,X,T,1,100,SP,N,,,N,18,
5184,505184,Aristida obscura,Rough-seed Wire-grass,,,,,,,,,Endangered,,,
4795,504795,Aristida personata,Purple Wire-grass,,,,,,,,,Endangered,,,
264,500264,Aristida ramosa,Cane Wire-grass,,W,T,1,100,MP,,,,N,,
265,,Arrhenatherum elatius,,,N,T,1,100,SP,,,,N,,
266,514980,Arrhenechthites mixta,,,,,,,,,,,,,
5390,505390,Artemisia arborescens,Silver Wormwood,,,,,,,,,,,,
267,500267,Artemisia verlotiorum,Chinese Wormwood,,,,,,,,,,,,
1037,501037,Arthropodium fimbriatum,Nodding Chocolate-lily,,,T,1,100,MP,Y,,,N,,
269,500269,Arthropodium milleflorum s.l.,Pale Vanilla-lily,S,U,F,1,100,MP,Y,,,N,"[4] [10], 43","TIRMK = T [4]; PERSEED = G, PERVEG = W, TIRMK = T [10]"
5125,505125,Arthropodium milleflorum s.s.,Pale Vanilla-lily,S,U,T,,,MP,Y,,,N,[9],"PERSEED = Z, PERVEG = V [9]"
270,500270,Arthropodium minus,Small Vanilla-lily,G,U,F,1,100,MP,Y,,,N,10,TIRMK = T [10]
3699,503699,Arthropodium sp. 1 (robust glaucous),Tall Vanilla-lily,Z,V,T,,,,,,Rare,,9,
5376,505376,Arthropodium sp. 2 (greenish flowers),Greenish-flower Vanilla-lily,,,,,,,,,Poorly known,,,
4248,504248,Arthropodium sp. 3 (aff. strictum),Small Chocolate-lily,,,T,2,100,,,,,N,,
5126,514990,Arthropodium strictum,,,,T,2,100,MP,Y,,,N,,
3644,503644,Arum italicum,,,,,,,,,,,,,
5391,505391,Arundo donax,Giant Reed,,,,,,,,,,,,
271,500271,Asclepias curassavica,Red-head Cotton-bush,,,,,,,,,,,,
5377,505377,Asparagus aethiopicus,Emerald fern,,,,,,,,,,,,
274,500274,Asparagus asparagoides,Bridal Creeper,,U,T,1,100,LP,Y,,,N,,
4682,504682,Asparagus declinatus,Bridal Veil,,,,,,,,,,,,
275,500275,Asparagus officinalis,Asparagus,,,,,,,,,,,,
4985,504985,Asparagus plumosus,Climbing Asparagus-fern,,,,,,,,,,,,
276,500276,Asparagus scandens,Asparagus Fern,,,,,,,,,,,,
277,500277,Asperula ambleia,Stiff Woodruff,,,,,,,,,Endangered,,,
3627,503627,Asperula charophyton,Elongate Woodruff,,,,,,,,,Poorly known,,,
278,500278,Asperula conferta,Common Woodruff,S,X,I,2,50,SP,N,,,2,"[9], 43",TIRMK = T [9]
279,500279,Asperula euryphylla var. euryphylla,,,,,,,,,,,,,
280,500280,Asperula gemella,Twin-leaf Bedstraw,,,,,,,,,Rare,,,
281,500281,Asperula gunnii,Mountain Woodruff,S,N,T,1,100,SP,N,,,3,"4, [10], 40",PERSEED = G; PERVEG = W [10]
282,500282,Asperula minima,Mossy Woodruff,,,,,,,,,Rare,,,
283,500283,Asperula pusilla,Alpine Woodruff,,,,,,,,,,,,
284,500284,Asperula scoparia,,F,U,I,2,50,SP,N,,,2,"[4], 12",TIRMK = T [4]
285,500285,Asperula subsimplex,Water Woodruff,C,,F,2,50,SP,,,,2,,
5640,505640,Asperula wimmerana,Wimmera Woodruff,,,,,,,,,Rare,,,
286,500286,Asphodelus fistulosus,Onion Weed,,,,,,,,,,,,
3626,503626,Asplenium aethiopicum,Shredded Spleenwort,,,,,,,,,Vulnerable,,,
293,,Asplenium appendiculatum,,,,,,,,,,,,,
287,,Asplenium bulbiferum,,,,,,,,,,,,,
288,500288,Asplenium flabellifolium,Necklace Fern,,X,R,5,100,LP,N,,,N,,
289,,Asplenium flaccidum,,,,,,,,,,,,,
290,500290,Asplenium hookerianum,Maidenhair Spleenwort,Z,X,R,5,,MP,N,,Endangered,3,"26, 28",
291,,Asplenium obtusatum,,,,,,,,,,,,,
292,500292,Asplenium polyodon,Sickle Spleenwort,,,,,,,,,Presumed extinct,,,
294,500294,Asplenium trichomanes,Common Spleenwort,,,T,,,MP,,,Rare,3,"26, 28",
4214,504214,Asplenium trichomanes subsp. quadrivalens,Common Spleenwort,,,,,,,,,Rare,,,
4215,504215,Asplenium trichomanes subsp. trichomanes,Common Spleenwort,,,T,,,MP,,,Rare,3,"26, 28",
5920,505920,Astartea heteranthera,Astartea,F,,,5,,MP,,,,,74,
295,500295,Astelia alpina var. novae-hollandiae,Silver Astelia,Z,W,T,5,50,LP,N,,,N,46,
296,500296,Astelia australiana,Tall Astelia,,,,,,,,,Vulnerable,,,
5818,505818,Aster lanceolatus,Michaelmas Daisy,,,,,,,,,,,,
4091,504091,Aster novi-belgii,Michaelmas Daisy,,,,,,,,,,,,
297,500297,Aster subulatus,Aster-weed,,,,,,,,,,,,
298,500298,Asteridea athrixioides,Wirewort,,,,,,,,,,,,
299,500299,Asterolasia asteriscophora,Lemon Star-bush,,,,,,,,,,,,
5647,505647,Asterolasia asteriscophora subsp. albiflora,White Star-bush,G,X,I,2,50,MP,N,,Endangered,3,14,"47, 47 recommends fire frequency of 5-10 yrs"
5646,505646,Asterolasia asteriscophora subsp. asteriscophora,Lemon Star-bush,G,X,I,5,F,F,N,,,,58,
300,500300,Asterolasia phebalioides,Downy Star-Bush,G,X,I,5,100,MP,N,,Vulnerable,2,49,
301,500301,Asterolasia trymalioides,Alpine Star-bush,G,S,I,5,100,LP,N,,,1,"4, 40",
302,500302,Asterolinon linum-stellatum,Asterolinon,,,,,,,,,,,,
303,500303,Astroloma conostephioides,Flame Heath,G,N,T,5,100,MP,N,,,2,"1, 5",TIRMK = I in grassy habitats (5)
304,500304,Astroloma humifusum,Cranberry Heath,G,W,T,5,50,MP,N,,,3,"1, 5",TIRMK = I in grassy habitats (5)
305,500305,Astroloma pinifolium,Pine Heath,G,X,T,5,50,MP,N,,,2,"[5], 55",
5598,,Astrotricha asperifolia,,,,I,,,,,,,3,,
5600,505600,Astrotricha asperifolia subsp. 1,Rough Star-hair,,,,,,,,,,,,
4122,504122,Astrotricha asperifolia subsp. 2,Bogong Star-hair,,,,,,,,,Rare,,,
5599,515011,Astrotricha ledifolia,,G,N,,,,,N,,,,38,
309,500309,Astrotricha linearis,Narrow-leaf Star-hair,,,,,,,,,Rare,,,
5604,505604,Astrotricha linearis subsp. 1,Narrow-leaf Star-hair,,,,,,,,,Rare,,,
5605,505605,Astrotricha linearis subsp. 2,Narrow-leaf Star-hair,,,,,,,,,Rare,,,
310,500310,Astrotricha parvifolia,Small-leaf Star-hair,,,,,,,,,Vulnerable,,,
5606,505606,Astrotricha parvifolia subsp. 1,Small-leaf Star-hair,,,,,,,,,Vulnerable,,,
5607,505607,Astrotricha parvifolia subsp. 2,Small-leaf Star-hair,,,,,,,,,Vulnerable,,,
5601,505601,Astrotricha sp. 1,Grampians Star-hair,,,,,,,,,Rare,,,
5602,505602,Astrotricha sp. 1 subsp. 1,Grampians Star-hair,,,,,,,,,Rare,,,
5603,505603,Astrotricha sp. 1 subsp. 2,Greater Grampians Star-hair,,,,,,,,,Vulnerable,,,
4241,504241,Astrotricha sp. 2,Long-leaf Star-hair,,,,,,,,,Vulnerable,,,
5608,505608,Astrotricha sp. 3,Wingan Star-hair,,,,,,,,,Vulnerable,,,
307,500307,Astrotricha sp. 4,Thick-leaf Star-hair,,,,,,,,,Rare,,,
5609,505609,Astrotricha sp. 5,Wallagaraugh Star-hair,,,,,,,,,Vulnerable,,,
311,515024,Atherosperma moschatum,,,,,,,,,,,,,
314,500314,Atriplex acutibractea,Pointed Saltbush,,,,,,,,,Rare,,,
4216,504216,Atriplex acutibractea subsp. acutibractea,Pointed Saltbush,,,,,,,,,Vulnerable,,,
4228,504228,Atriplex acutibractea subsp. karoniensis,Pointed Saltbush,,,,,,,,,Rare,,,
315,500315,Atriplex angulata,Angular Saltbush,,,,,,,,,Endangered,,,
3621,503621,Atriplex australasica,Native Orache,,,,,,,,,,,,
3360,503360,Atriplex billardierei,Glistening Saltbush,,,,,,,,,Presumed extinct,,,
316,500316,Atriplex cinerea,Coast Saltbush,,,,,,,,,,,,
317,500317,Atriplex eardleyae,Small Saltbush,,,,,,,,,,,,
333,500333,Atriplex holocarpa,Pop Saltbush,,,,,,,,,Vulnerable,,,
319,500319,Atriplex hortensis,Garden Orache,,,,,,,,,,,,
321,500321,Atriplex leptocarpa,Slender-fruit Saltbush,,,,,,,,,,,,
322,500322,Atriplex limbata,Spreading Saltbush,,,,,,,,,Vulnerable,,,
323,500323,Atriplex lindleyi,Flat-top Saltbush,,,,,,,,,,,,
4231,504231,Atriplex lindleyi subsp. conduplicata,Baldoo,,,,,,,,,Rare,,,
320,500320,Atriplex lindleyi subsp. inflata,Corky Saltbush,,,,,,,,,,,,
4243,504243,Atriplex lindleyi subsp. lindleyi,Flat-top Saltbush,,,,,,,,,Poorly known,,,
325,500325,Atriplex nummularia,Old-man Saltbush,,,,,,,,,,,,
4232,504232,Atriplex nummularia subsp. nummularia,Old-man Saltbush,,,,,,,,,,,,
4233,504233,Atriplex nummularia subsp. omissa,Dwarf Old-man Saltbush,,,,,,,,,Rare,,,
326,500326,Atriplex paludosa subsp. paludosa,Marsh Saltbush,,,,,,,,,Rare,,,
327,500327,Atriplex papillata,Coral Saltbush,,,,,,,,,Rare,,,
328,500328,Atriplex patula,Spear Orache,,,,,,,,,,,,
318,500318,Atriplex prostrata,Hastate Orache,,,,,,,,,,,,
330,500330,Atriplex pseudocampanulata,Mealy Saltbush,,,,,,,,,Rare,,,
3622,503622,Atriplex pumilio,Mat Saltbush,,,,,,,,,,,,
331,500331,Atriplex rhagodioides,Silver Saltbush,,,,,,,,,Vulnerable,,,
332,500332,Atriplex semibaccata,Berry Saltbush,,,,,,,,,,,,
4608,504608,Atriplex spinibractea,Spiny-fruit Saltbush,,,,,,,,,Endangered,,,
334,500334,Atriplex stipitata,Kidney Saltbush,,,,,,,,,,,,
335,500335,Atriplex suberecta,Sprawling Saltbush,,,,,,,,,,,,
336,500336,Atriplex vesicaria,Bladder Saltbush,,,,,,,,,,,,
4244,504244,Atriplex vesicaria subsp. macrocystidia,Bladder Saltbush,,,,,,,,,Poorly known,,,
4245,504245,Atriplex vesicaria subsp. minor,Bladder Saltbush,,,,,,,,,Poorly known,,,
4246,504246,Atriplex vesicaria subsp. variabilis,Bladder Saltbush,,,,,,,,,,,,
4260,504260,Australina pusilla,Shade Nettle,,,,,,,,,,,,
337,500337,Australina pusilla subsp. muelleri,Shade Nettle,,,,,,,,,,,,
4257,504257,Australina pusilla subsp. pusilla,Small Shade-nettle,,,,,,,,,Rare,,,
143,500143,Australopyrum retrofractum,Comb Wheat-grass,,,,,,,,,Rare,,,
147,500147,Australopyrum velutinum,Mountain Wheat-grass,Z,W,F,2,50,SP,N,,Rare,N,"[4], 26, 28","TIRMK = T [4], JUVEN = 1[4]"
3907,503907,Austrocylindropuntia cylindrica,Cane Cactus,,,,,,,,,,,,
909,500909,Austrocynoglossum latifolium,Forest Hound's-tongue,,,,,,,,,,,,
960,500960,Austrodanthonia auriculata,,,N,T,1,100,MP,,,,N,,
4418,,Austrodanthonia bipartita,,,N,T,1,100,MP,,,,N,,
961,500961,Austrodanthonia caespitosa,,,PERVEG,,2,,MP,N,,,,74,
962,500962,Austrodanthonia carphoides,,,,,,,,,,,,,
963,500963,Austrodanthonia duttoniana,,,,,,,,,,,,,
964,500964,Austrodanthonia eriantha,,,N,T,1,100,MP,N,,,N,,
4409,504409,Austrodanthonia fulva,,,,,,100,,N,,,,,
965,500965,Austrodanthonia geniculata,,C,N,T,1,100,MP,N,,,N,55,
966,500966,Austrodanthonia induta,,,,,,,,,,,,,
967,500967,Austrodanthonia laevis,,C,V,T,1,100,MP,N,,,N,"9, [10]","PERSEED = G, PERVEG = W [10]"
975,500975,Austrodanthonia pilosa,,S,N,T,1,100,MP,N,,,N,"[4] [10], 43","PERVEG = ?U/W [4]; PERSEED = G, PERVEG = W [10]; JUVEN = 2 [43]"
977,514642,Austrodanthonia racemosa,,C,N,T,1,100,MP,N,,,N,[9],PERVEG = V [9]
980,500980,Austrodanthonia setacea,,,N,T,1,100,MP,N,,,N,,
4379,504379,Austrodanthonia setacea var. setacea,,,,,,,,,,,,,
981,500981,Austrodanthonia tenuior,,,N,T,1,100,MP,,,,N,,
1359,501359,Austrofestuca eriopoda,,,,,,,,,,,,,
1360,501360,Austrofestuca hookeriana,,G,W,T,1,,,N,,,N,10,
1361,501361,Austrofestuca littoralis,,,,,,,,,,,,,
3264,503264,Austrostipa acrociliata,Graceful Spear-grass,,,,,,,,,,,,
3265,503265,Austrostipa aristiglumis,Plump Spear-grass,,W,T,2,100,,,,,N,,
3266,503266,Austrostipa bigeniculata,Kneed Spear-grass,,,,,,,,,,,,
3267,503267,Austrostipa blackii,Crested Spear-grass,F,V,T,,,,N,,,,9,
3268,503268,Austrostipa breviglumis,Cane Spear-grass,,,,,,,,,Rare,,,
3270,503270,Austrostipa curticoma,Short-crown Spear-grass,,,,,,,,,,,,
3271,503271,Austrostipa densiflora,Dense Spear-grass,,W,T,2,100,,,,,N,,
3272,503272,Austrostipa drummondii,Cottony Spear-grass,,,,,,,,,,,,
3273,503273,Austrostipa elegantissima,Feather Spear-grass,,W,T,2,100,,,,,N,,
3274,503274,Austrostipa eremophila,Desert Spear-grass,,,,,,,,,,,,
3984,503984,Austrostipa exilis,Heath Spear-grass,,,,,,,,,Rare,,,
3276,503276,Austrostipa flavescens,Coast Spear-grass,,PERVEG,,1,,SP,N,,,,74,
3277,503277,Austrostipa gibbosa,Spurred Spear-grass,,,,,,,,,,,,
3985,503985,Austrostipa hemipogon,Half-bearded Spear-grass,F,U,T,1,100,SP,N,,Rare,N,1,survive into very old veg & a post-fire flush
3278,503278,Austrostipa macalpinei,Annual Spear-grass,,PERVEG,,2,,SP,,,Rare,,74,
3279,503279,Austrostipa mollis,Supple Spear-grass,F,U,T,1,100,SP,N,,,3,"1, 19",survive into very old veg + a post-fire flush
3280,503280,Austrostipa muelleri,Wiry Spear-grass,,,,2,50,,,,,2,,
3281,503281,Austrostipa mundula,Neat Spear-grass,,,,,,,,,Rare,,,
3283,503283,Austrostipa nitida,Balcarra Spear-Grass,F,V,F,2,100,LP,N,,,N,19,
3284,503284,Austrostipa nivicola,Alpine Spear-grass,S,W,T,2,100,MP,N,,Rare,N,"[4], 26, 28",JUVEN = 1 [4]
3285,503285,Austrostipa nodosa,Knotty Spear-grass,F,W,T,2,100,MP,N,,,N,[9],"PERSEED=Z, PERVEG = V [9]"
3986,503986,Austrostipa nullanulla,Club Spear-grass,C,U,T,2,100,LP,N,,Vulnerable,,60,grows in non-fire prone areas
3286,503286,Austrostipa oligostachya,Fine-head Spear-grass,,,,,,,,,,,,
3987,503987,Austrostipa pilata,Prickly Spear-grass,,,,,,,,,Vulnerable,,,
3287,503287,Austrostipa platychaeta,Flat-awned Spear-grass,,,,,,,,,,,,
3988,503988,Austrostipa puberula,Fine-hairy Spear-grass,,,,,,,,,Rare,,,
3288,503288,Austrostipa pubinodis,Tall Spear-grass,,W,T,2,100,,,,,N,,
3289,503289,Austrostipa rudis,Veined Spear-grass,S,U,T,1,100,MP,N,,,,75,
4940,504940,Austrostipa rudis subsp. australis,Veined Spear-grass,,,,,,,,,Rare,,,
4941,504941,Austrostipa rudis subsp. nervosa,Veined Spear-grass,,W,,,,,,,,N,,
4942,504942,Austrostipa rudis subsp. rudis,Veined Spear-grass,,,,,,,,,,,,
3290,503290,Austrostipa scabra,Rough Spear-grass,S,U,T,5,50,MP,N,,,N,48,
3275,503275,Austrostipa scabra subsp. falcata,Rough Spear-grass,S,U,T,1,100,MP,N,,,N,"1, 19, 75",
4943,504943,Austrostipa scabra subsp. scabra,Rough Spear-grass,S,U,T,5,50,MP,N,,,N,48,
3291,503291,Austrostipa semibarbata,Fibrous Spear-grass,,W,T,2,50,,,,,3,,
3292,503292,Austrostipa setacea,Corkscrew Spear-grass,,,,,,,,,,,,
3293,503293,Austrostipa stipoides,Prickly Spear-grass,,,,,,,,,,,,
3294,503294,Austrostipa stuposa,Quizzical Spear-grass,,,,,,,,,,,,
5386,505386,Austrostipa tenuifolia,Long-awn Spear-grass,,,,,,,,,Vulnerable,,,
4512,504512,Austrostipa trichophylla,Spear-grass,,,,,,,,,Rare,,,
3297,503297,Austrostipa tuckeri,Tucker's Spear-grass,,,,,,,,,Presumed extinct,,,
5965,505965,Austrostipa verticillata,Bamboo Spear-grass,,,,,,,,,Poorly known,,,
339,500339,Avellinia michelii,Avellinia,,,T,1,100,A,N,,,N,,
340,500340,Avena barbata,Bearded Oat,D,,T,1,20,A,N,,,N,,
341,500341,Avena fatua,Wild Oat,D,U,T,1,20,A,N,,,N,[4],"PERSEED = S, PERVEG=U/W [4]"
342,500342,Avena sativa,Oat,,,,,,,,,,,,
343,500343,Avena sterilis,Sterile Oat,,,,,,,,,,,,
4226,504226,Avena sterilis subsp. ludoviciana,Sterile Oat,,,,,,,,,,,,
4242,504242,Avena sterilis subsp. sterilis,Sterile Oat,,,,,,,,,,,,
344,500344,Avena strigosa,Bristle Oat,,,,,,,,,,,,
345,,Avicennia marina,,,,,,,,,,,,,
346,500346,Axonopus fissifolius,Carpet Grass,,,,,,,,,,,,
347,500347,Azolla filiculoides,Pacific Azolla,,,,,,,,,,,,
348,500348,Azolla pinnata,Ferny Azolla,,X,T,1,100,ASP,,,,N,,
3796,503796,Babiana angustifolia,Baboon Flower,,,,,,,,,,,,
350,500350,Babingtonia behrii,Broom Baeckea,C,X,I,5,50,MP,N,,,2,"1, 5, 19",very palatable to goats (19)
358,514669,Babingtonia pluriflora,,,,,,,,,,,,,
5921,505921,Baccharis pingraea,,,,,,,,,,,,,
351,500351,Baeckea crassifolia,Desert Baeckea,C,X,I,5,100,MP,N,,,2,1,
353,500353,Baeckea ericaea,Mat Baeckea,C,X,I,5,100,MP,N,,,3,1,
354,500354,Baeckea gunniana,Alpine Baeckea,Z,N,I,5,50,LP,N,,,2,"[4], [10], 38","PERVEG = V, TIRMK = T [4, 10]"
