Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm),plant_height_duplicate,wood_density_duplicate,seed_width_min_duplicate,seed_width_max_duplicate,seed_length_min_duplicate,seed_length_max_duplicate,leaf_width_min_duplicate,leaf_width_max_duplicate,leaf_length_min_duplicate,leaf_length_max_duplicate
Albizia Windsor-Tableland,tree,1,1,compound,no,evergreen,NA,580,523,35,5,7,1,3,15,17,8,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Archidendron grandiflorum,tree,0,1,compound,no,evergreen,510,457,523,20,15,115,15,45,12,14,7,9,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0287,NA,Duplicate of Barlow_1981_0287,NA,Duplicate of Barlow_1981_0287
Archidendron hendersonii,tree,1,1,compound,no,evergreen,500,457,523,30,40,210,20,95,5,14,4,6,NA,Duplicate of Barlow_1981_0288,NA,NA,NA,NA,Duplicate of Barlow_1981_0288,Duplicate of Barlow_1981_0288,Duplicate of Barlow_1981_0288,NA,NA
Archidendron hirsutum,tree,1,1,compound,no,deciduous,NA,457,523,22,40,180,20,105,7,12,5,6,NA,Duplicate of Barlow_1981_0289,NA,Duplicate of Barlow_1981_0289,NA,Duplicate of Barlow_1981_0289,NA,NA,NA,NA,NA
Archidendron kanisii,tree,1,0,compound,no,evergreen,NA,457,523,3,70,175,25,65,3,7,3,6,NA,Duplicate of Barlow_1981_0290,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0290,NA,NA,NA
Archidendron lovelliae,tree,1,1,compound,no,evergreen,NA,NA,NA,15,30,110,10,45,10,16,10,12,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0291,NA,NA,NA
Archidendron lucyi,tree,0,1,compound,no,evergreen,NA,457,523,20,52,230,35,140,10,17,7,11,NA,Duplicate of Barlow_1981_0292,NA,NA,NA,Duplicate of Barlow_1981_0292,NA,Duplicate of Barlow_1981_0292,NA,NA,Duplicate of Barlow_1981_0292
Archidendron muellerianum,tree,0,1,compound,no,evergreen,NA,NA,NA,20,40,130,20,60,12,15,6,8,NA,Duplicate of Barlow_1981_0293,NA,NA,NA,NA,NA,NA,NA,NA,NA
Archidendron ramiflorum,tree,0,1,compound,no,evergreen,NA,457,523,10,90,460,50,145,10,17,8,10,NA,NA,NA,Duplicate of Barlow_1981_0294,NA,Duplicate of Barlow_1981_0294,NA,Duplicate of Barlow_1981_0294,Duplicate of Barlow_1981_0294,Duplicate of Barlow_1981_0294,NA
Archidendron vaillantii,tree,1,1,compound,no,deciduous,360,457,523,25,45,220,30,110,10,15,8,12,NA,Duplicate of Barlow_1981_0295,NA,NA,NA,Duplicate of Barlow_1981_0295,NA,Duplicate of Barlow_1981_0295,Duplicate of Barlow_1981_0295,NA,NA
Archidendron whitei,tree,1,1,compound,no,evergreen,NA,457,523,15,60,125,45,70,9,10,6,7,NA,Duplicate of Barlow_1981_0296,NA,NA,Duplicate of Barlow_1981_0296,Duplicate of Barlow_1981_0296,NA,NA,NA,NA,NA
Archidendropsis thozetiana,tree,0,1,compound,no,evergreen,NA,NA,NA,20,3,38,2,14,8,9,5,6,4,Duplicate of Barlow_1981_0298,NA,NA,NA,Duplicate of Barlow_1981_0298,NA,NA,Duplicate of Barlow_1981_0298,NA,Duplicate of Barlow_1981_0298
Archidendropsis xanthoxylon,tree,0,1,compound,no,evergreen,NA,NA,523,20,28,110,15,45,8,12,8,11,4,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0299,Duplicate of Barlow_1981_0299,Duplicate of Barlow_1981_0299,Duplicate of Barlow_1981_0299,NA
Cajanus acutifolius,shrub,1,0,compound,no,evergreen,NA,NA,567,2,25,40,9,15,3,5,3,4,3,NA,NA,Duplicate of NTH_2014_339,NA,NA,NA,Duplicate of NTH_2014_339,NA,NA,NA
Cajanus reticulatus,shrub,1,0,compound,no,evergreen,NA,NA,567,2,20,115,20,70,3,6,3,4,NA,NA,NA,Duplicate of NTH_2014_341,NA,NA,NA,NA,NA,NA,NA
Cassia brewsteri-brewsteri,tree,0,1,compound,no,deciduous,731,NA,NA,25,20,110,15,30,12,15,6,8,3,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0608,Duplicate of Barlow_1981_0608,NA,NA
Cassia brewsteri-tomentella,tree,0,1,compound,no,evergreen,NA,NA,NA,10,10,60,8,22,6,7,6,7,3,Duplicate of Barlow_1981_0611,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0611
Cassia Kalpowar,tree,0,1,compound,no,deciduous,NA,NA,NA,9,25,85,18,35,8,10,8,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassia marksiana,tree,0,1,compound,no,deciduous,731,NA,NA,25,20,90,15,40,7,8,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassia queenslandica,tree,0,1,compound,no,evergreen,NA,630,637,15,20,80,15,40,5,7,5,7,4,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0613,NA,NA,NA,NA
Cassia Paluma-Range,tree,0,1,compound,no,evergreen,NA,NA,NA,18,25,90,20,37,5,7,4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castanospermum australe,tree,0,1,compound,no,evergreen,583,583,567,35,50,200,20,50,30,50,30,50,30,Duplicate of Metcalfe_2009_049,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cathormion umbellatum-moniliforme,tree,1,1,compound,no,deciduous,NA,NA,523,24,6,50,3,30,11,13,8,10,3,Duplicate of Barlow_1981_0657,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0657,NA,Duplicate of Barlow_1981_0657
Crudia papuana,tree,0,1,compound,no,evergreen,NA,NA,637,10,40,180,16,55,45,75,35,50,5,Duplicate of Barlow_1981_0919,NA,NA,Duplicate of Barlow_1981_0919,NA,Duplicate of Barlow_1981_0919,Duplicate of Barlow_1981_0919,Duplicate of Barlow_1981_0919,Duplicate of Barlow_1981_0919,Duplicate of Barlow_1981_0919
Cynometra iripa,tree,0,1,compound,no,evergreen,NA,NA,NA,8,15,100,10,55,25,29,10,12,10,Duplicate of Barlow_1981_1028,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1028,Duplicate of Barlow_1981_1028,Duplicate of Barlow_1981_1028
Cynometra ramiflora,tree,0,1,compound,no,evergreen,NA,NA,637,26,12,200,25,75,30,35,18,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalbergia candenatensis,tree,0,1,compound,no,evergreen,NA,NA,NA,5,7,52,6,34,18,23,6,8,3,NA,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_358,NA,Duplicate of NTH_2014_358
Dalbergia candenatensis,tree,0,1,compound,no,evergreen,NA,NA,NA,5,7,52,6,34,18,23,6,8,3,NA,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_358,NA,Duplicate of NTH_2014_358
Dalbergia candenatensis,tree,0,1,compound,no,evergreen,NA,NA,NA,5,7,52,6,34,18,23,6,8,3,NA,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_358,NA,Duplicate of NTH_2014_358
Dalbergia candenatensis,tree,0,1,compound,no,evergreen,NA,NA,NA,5,7,52,6,34,18,23,6,8,3,NA,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_358,NA,Duplicate of NTH_2014_358
Dalbergia densa-australis,shrub,0,1,compound,no,evergreen,NA,NA,NA,4,15,50,5,25,7,8,6,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalbergia densa-densa,shrub,0,1,compound,no,evergreen,NA,NA,NA,5,15,45,8,18,14,17,6,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrolobium arbuscula,tree,0,1,compound,no,evergreen,NA,NA,567,6,10,80,10,50,3,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrolobium umbellatum,shrub,0,1,compound,no,evergreen,NA,NA,567,8,35,140,20,70,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium acanthocladum,shrub,1,0,compound,no,evergreen,NA,NA,NA,2,5,25,3,8,3,4,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium heterocarpon var. strigosum,shrub,1,0,compound,no,evergreen,NA,NA,567,1.5,18,46,10,13,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium nemorosum,shrub,1,0,compound,no,evergreen,NA,NA,567,1,20,65,15,45,4,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium tenax,shrub,1,0,compound,no,evergreen,NA,NA,567,2,33,130,14,70,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erythrina Croftby,tree,0,1,compound,yes,deciduous,215,NA,NA,30,50,80,50,90,7,8,5,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erythrina insularis,tree,0,1,compound,no,deciduous,NA,NA,NA,12,35,110,30,125,8,10,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erythrina variegata,tree,0,1,compound,no,deciduous,NA,NA,567,25,80,200,65,210,14,19,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erythrina vespertilio,tree,1,1,compound,yes,deciduous,NA,NA,567,30,20,135,40,155,10,18,7,9,6,NA,NA,NA,NA,Duplicate of NTH_2014_382,NA,NA,Duplicate of NTH_2014_382,NA,NA
Erythrophleum chlorostachys,tree,0,1,compound,no,evergreen,NA,NA,637,15,20,85,10,80,10,10,10,10,3,Duplicate of NTH_2014_564,NA,NA,NA,Duplicate of NTH_2014_564,Duplicate of NTH_2014_564,NA,Duplicate of Barlow_1981_1530,NA,Duplicate of Barlow_1981_1530
Goodia lotifolia,shrub,0,0,compound,no,evergreen,NA,NA,NA,4,8,30,5,20,3,4,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Intsia bijuga,tree,0,1,compound,no,evergreen,645,645,637,30,50,160,30,130,22,35,20,32,4,Duplicate of Barlow_1981_2733,NA,NA,Duplicate of Barlow_1981_2733,Duplicate of Barlow_1981_2733,Duplicate of Barlow_1981_2733,Duplicate of Barlow_1981_2733,NA,NA,Duplicate of Barlow_1981_2733
Labichea nitida,shrub,1,0,simple,no,deciduous,NA,NA,637,2,5,45,2,13,4,6,4,6,NA,Duplicate of Barlow_1981_2819,NA,Duplicate of Barlow_1981_2819,NA,NA,Duplicate of Barlow_1981_2819,Duplicate of Barlow_1981_2819,NA,NA,NA
Lysiphyllum binatum,tree,1,1,compound,no,deciduous,NA,NA,NA,7,15,45,10,45,8,11,6,8,4,Duplicate of Barlow_1981_0463,NA,NA,Duplicate of NTH_2014_565,NA,Duplicate of Barlow_1981_0463,NA,NA,Duplicate of Barlow_1981_0463,Duplicate of Barlow_1981_0463
Lysiphyllum carronii,tree,0,1,compound,no,deciduous,NA,NA,NA,10,15,35,8,20,15,30,15,30,4,Duplicate of Barlow_1981_0464,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0464
Lysiphyllum cunninghamii,tree,0,1,compound,no,deciduous,NA,NA,637,12,13,40,10,30,10,13,8,10,3,Duplicate of Barlow_1981_0465,NA,Duplicate of NTH_2014_566,NA,Duplicate of Barlow_1981_0465,NA,Duplicate of Barlow_1981_0465,Duplicate of Barlow_1981_0465,Duplicate of Barlow_1981_0465,Duplicate of Barlow_1981_0465
Lysiphyllum hookeri,tree,0,1,compound,no,evergreen,NA,NA,637,12,15,50,10,32,10,15,8,10,3,Duplicate of Barlow_1981_0467,NA,NA,NA,NA,Duplicate of Barlow_1981_0467,Duplicate of Barlow_1981_0467,Duplicate of Barlow_1981_0467,Duplicate of Barlow_1981_0467,Duplicate of Barlow_1981_0467
Maniltoa lenticellata,tree,0,1,compound,no,evergreen,NA,NA,637,22,25,125,10,55,35,48,20,30,8,Duplicate of Barlow_1981_3047,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3047,Duplicate of Barlow_1981_3047
Millettia McIlwraith,tree,0,1,compound,no,deciduous,NA,550,567,20,35,120,20,46,10,18,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Millettia pinnata,tree,0,1,compound,no,deciduous,550,550,567,20,50,230,40,130,12,22,15,17,3,Duplicate of Metcalfe_2009_182,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ormosia ormondii,tree,0,1,compound,no,evergreen,NA,NA,567,25,25,210,28,80,10,14,8,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pararchidendron pruinosum,tree,1,1,compound,no,deciduous,500,500,523,20,20,110,13,50,4,8,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraserianthes toona,tree,1,1,compound,no,deciduous,580,580,523,30,3,10,1,1,8,10,7,9,3,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3210,Duplicate of Barlow_1981_3210,NA,NA
Peltophorum pterocarpum,tree,1,1,compound,no,deciduous,NA,NA,NA,15,12,20,6,9,7,9,4,5,3,Duplicate of Barlow_1981_3238,NA,NA,Duplicate of Barlow_1981_3238,NA,NA,NA,NA,NA,Duplicate of Brock_1993_258
Senna acclinis,shrub,0,1,compound,no,evergreen,NA,NA,NA,2,12,50,8,16,4,6,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3830
Senna barclayana,shrub,0,1,compound,no,evergreen,NA,NA,NA,2,15,65,4,15,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3834,NA,NA,NA
Senna clavigera,shrub,1,1,compound,no,evergreen,NA,NA,637,1.5,30,70,7,20,3,4,3,4,NA,Duplicate of Barlow_1981_3840,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3840,NA,Duplicate of Barlow_1981_3840
Senna coronilloides,shrub,1,1,compound,no,evergreen,NA,NA,637,3,8,25,2,8,3,4,3,3,NA,Duplicate of Barlow_1981_3842,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3842,NA,NA
Senna gaudichaudii,shrub,1,1,compound,no,evergreen,NA,NA,637,11,10,60,7,30,4,6,3,4,3,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3849,NA,NA,Duplicate of Barlow_1981_3849
Senna sophera,shrub,1,1,compound,no,evergreen,NA,NA,NA,2,20,65,6,12,4,5,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senna sulfurea,tree,1,1,compound,no,evergreen,NA,NA,NA,11,40,130,16,50,6,6,6,6,3,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3881,NA
Senna surattensis,tree,1,1,compound,no,evergreen,NA,NA,NA,10,25,45,12,20,4,6,3,5,3,NA,NA,NA,NA,NA,Duplicate of NTH_2014_571,NA,Duplicate of Barlow_1981_3880,Duplicate of Barlow_1981_3880,NA
Senna timorensis,tree,1,1,compound,no,evergreen,NA,NA,NA,6,30,40,10,13,5,6,4,5,2,NA,NA,NA,NA,Duplicate of NTH_2014_572,NA,NA,NA,NA,NA
Sesbania cannabina,shrub,1,0,compound,no,evergreen,NA,NA,567,3.5,3,22,1,5,3,4,1,2,NA,NA,NA,NA,Duplicate of NTH_2014_415,Duplicate of NTH_2014_415,NA,NA,NA,NA,NA
Sesbania formosa,shrub,1,1,compound,no,evergreen,NA,NA,NA,5,20,30,5,11,7,9,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_292
Sophora fraseri,shrub,0,1,compound,no,evergreen,NA,NA,NA,2,10,20,4,10,4,6,4,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sophora tomentosa,tree,1,1,compound,no,evergreen,NA,NA,567,5,22,60,12,40,6,9,5,8,NA,NA,NA,NA,Duplicate of NTH_2014_421,NA,NA,Duplicate of NTH_2014_421,NA,NA,NA
Vitex acuminata,tree,1,1,compound,no,deciduous,NA,595,519,23,40,170,20,66,4,10,2,6,NA,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_336,NA,NA,NA
Vitex helogiton,tree,1,0,compound,no,evergreen,NA,595,519,20,30,170,15,70,6,15,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitex melicopea,tree,1,0,compound,no,evergreen,490,595,519,30,30,160,15,60,3,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitex trifolia-trifolia,tree,1,0,simple,no,evergreen,NA,595,519,7,25,120,15,40,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitex queenslandica,tree,1,0,compound,no,deciduous,NA,NA,519,35,60,130,30,45,5,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adansonia gregorii,tree,0,1,compound,no,deciduous,NA,NA,NA,15,65,120,25,45,10,11,7,8,NA,Duplicate of Brock_1993_006,NA,NA,NA,Duplicate of NTH_2014_044,Duplicate of NTH_2014_044,NA,NA,NA,NA
Argyrodendron actinophyllum_diversifolium,tree,1,1,compound,no,evergreen,631,691,426,47,70,200,20,80,5,8,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyrodendron actinophyllum_actinophyllum,tree,1,1,compound,no,evergreen,705.2,NA,NA,45,100,180,15,50,5,7,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyrodendron Boonjee,tree,1,1,compound,no,evergreen,NA,691,426,20,50,200,20,40,5,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyrodendron Karnak,tree,0,1,compound,no,evergreen,NA,691,426,25,65,180,25,80,10,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyrodendron KinKin,tree,1,1,compound,no,evergreen,NA,NA,NA,45,60,145,20,60,5,7,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyrodendron MtHaig,tree,0,1,compound,no,evergreen,NA,691,426,30,55,150,15,30,8,10,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyrodendron peralatum,tree,1,1,compound,no,evergreen,620,691,426,35,70,175,20,50,12,14,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyrodendron polyandrum,tree,1,1,compound,no,evergreen,NA,691,426,45,50,120,10,50,5,8,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyrodendron trifoliolatum,tree,1,0,compound,no,evergreen,735,691,426,45,60,145,20,60,5,7,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyrodendron Whitsundays,tree,1,0,compound,no,evergreen,NA,NA,NA,20,60,200,20,90,8,10,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyrodendron Whyanbeel,tree,0,1,compound,no,evergreen,NA,691,426,25,115,370,50,135,8,10,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bombax ceiba_leiocarpum,tree,1,0,compound,no,deciduous,NA,NA,NA,25,60,220,35,85,5,5,3,3,NA,NA,NA,NA,NA,Duplicate of NTH_2014_045,Duplicate of NTH_2014_045,Duplicate of NTH_2014_045,NA,Duplicate of NTH_2014_045,NA
Aglaia argentea,tree,0,1,compound,no,evergreen,NA,NA,537,15,110,270,37,100,22,30,10,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglaia australiensis,tree,0,1,compound,no,evergreen,NA,NA,537,10,70,190,50,95,20,42,12,18,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglaia brassii,tree,0,1,compound,no,evergreen,NA,NA,537,20,75,180,20,60,12,22,10,15,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglaia brownii,tree,0,1,compound,no,evergreen,NA,NA,537,12,50,125,33,60,10,16,10,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglaia elaeagnoidea,tree,1,1,compound,no,evergreen,NA,NA,537,20,20,160,10,60,8,12,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglaia euryanthera,tree,1,1,compound,no,evergreen,NA,NA,537,12,70,260,30,100,8,25,7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglaia meridionalis,tree,0,1,compound,no,evergreen,NA,NA,537,10,50,280,20,80,15,30,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglaia sapindina,tree,0,1,compound,no,evergreen,NA,NA,537,15,70,260,30,135,12,15,7,8,NA,Duplicate of Metcalfe_2009_010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglaia Silver-Plains,shrub,0,1,compound,no,evergreen,NA,NA,537,3,50,95,18,35,12,15,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglaia silvestris,tree,0,1,compound,no,evergreen,NA,NA,NA,30,70,240,17,65,16,18,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglaia spectabilis,tree,0,1,compound,no,evergreen,NA,NA,537,40,80,400,30,170,50,60,20,22,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglaia tomentosa,tree,0,1,compound,no,evergreen,NA,NA,537,8,30,320,20,110,15,18,8,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthocarapa nitidula,tree,0,1,compound,no,evergreen,640,640,537,30,50,160,25,60,18,20,12,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chisocheton longistipitatus,tree,0,1,compound,no,evergreen,NA,NA,537,40,90,320,40,130,25,30,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysoxylum actutangulatum,tree,0,1,compound,no,evergreen,NA,NA,NA,37,40,150,15,65,20,20,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysoxylum alliaceum,tree,0,1,compound,no,evergreen,NA,613,537,38,75,250,25,110,20,27,20,22,NA,Duplicate of Metcalfe_2009_097,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysoxylum arborescens,tree,0,1,compound,no,evergreen,NA,613,537,25,50,190,20,70,12,22,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysoxylum Deepwater,NA,1,1,compound,no,evergreen,619.2,NA,NA,45,50,100,20,40,NA,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysoxylum latifolium,tree,0,1,compound,no,evergreen,NA,613,537,30,30,160,10,90,20,36,12,14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysoxylum mollissimum,tree,1,1,compound,no,evergreen,NA,613,537,35,60,160,25,60,8,12,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysoxylum oppositifolium,tree,0,1,compound,no,evergreen,690,613,537,30,60,220,30,80,16,20,12,14,6,Duplicate of Metcalfe_2009_099,NA,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_111,NA
Dysoxylum papuanum,tree,0,1,compound,no,evergreen,590,613,537,40,80,130,20,50,12,15,7,8,NA,Duplicate of Metcalfe_2009_100,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysoxylum parasiticum,tree,0,1,compound,no,evergreen,NA,613,537,27,40,250,30,80,15,18,7,8,NA,Duplicate of Metcalfe_2009_101,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysoxylum pettigrewianum,tree,0,1,compound,no,evergreen,690,613,537,35,50,270,25,80,20,24,9,10,NA,Duplicate of Metcalfe_2009_102,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysoxylum pumilum,tree,0,1,compound,no,evergreen,NA,613,537,8,80,300,40,125,35,45,12,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysoxylum rufum,tree,0,1,compound,no,evergreen,NA,613,537,30,50,240,20,50,8,8,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dysoxylum setosum,tree,1,1,compound,no,evergreen,NA,613,537,30,60,280,40,100,12,15,6,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melia azedarach,tree,1,0,compound,no,deciduous,380,380,537,45,20,70,10,30,6,7,4,5,NA,Duplicate of Metcalfe_2009_174,NA,NA,NA,NA,NA,NA,NA,NA,NA
Owenia acidula,tree,1,1,compound,no,evergreen,NA,NA,NA,10,10,50,3,8,10,15,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Owenia cepiodora,tree,1,1,compound,no,evergreen,430,NA,NA,40,70,140,15,35,7,12,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Owenia venosa,tree,0,1,compound,no,evergreen,NA,NA,NA,20,40,80,10,25,12,15,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Owenia Xreliqua,tree,0,1,compound,no,evergreen,NA,NA,NA,20,40,80,10,25,12,15,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Synoum glandulosum_paniculosum,tree,0,1,compound,no,evergreen,513,513,537,20,30,120,20,50,11,17,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Synoum glandulosum_glandulosum,tree,0,1,compound,no,evergreen,513,513,537,20,30,120,20,50,11,17,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toona ciliata,tree,0,1,compound,no,deciduous,389,389,537,45,40,150,20,50,4,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xylocarpus granatum,tree,0,1,compound,no,evergreen,NA,NA,NA,25,40,150,30,70,40,90,35,45,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xylocarpus moluccensis,tree,0,1,compound,no,deciduous,NA,NA,NA,30,35,170,20,75,40,65,30,40,20,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_346,NA,NA,NA
Jasminum didymum (complex),shrub,1,1,compound,no,evergreen,NA,NA,NA,3,20,100,15,65,5,7,3,4,NA,Duplicate of Brock_1993_201,NA,NA,NA,NA,NA,Duplicate of Brock_1993_201,Duplicate of Brock_1993_201,NA,Duplicate of Brock_1993_201
Jasminum lineare,shrub,1,0,compound,no,evergreen,NA,NA,NA,2,20,120,6,15,4,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alloxylon pinnatum,tree,0,1,simple,no,evergreen,NA,NA,NA,24,80,150,10,30,5,8,3,5,2,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0171,NA,Duplicate of Barlow_1981_0171,NA
Austromuellera trinervia,tree,0,1,compound,no,evergreen,560,560,573,18,75,190,12,60,40,50,25,30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austromuellera valida,tree,0,1,simple,yes,evergreen,NA,560,573,20,70,120,40,80,25,35,20,25,3,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0356,NA,Duplicate of Barlow_1981_0356
Cardwellia sublimis,tree,0,1,compound,no,evergreen,436,436,573,35,70,210,40,85,40,60,15,20,2,Duplicate of Metcalfe_2009_044,NA,NA,NA,NA,Duplicate of Barlow_1981_0601,NA,NA,NA,NA
Carnarvonia araliifolia-araliifolia,tree,0,1,compound,no,evergreen,560,560,573,30,45,200,15,120,10,14,8,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
