Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,Fire_Response_Adult,Resprout_Type,stem buds
Panicum gilvum Launert,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panicum laevinode Lindl.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Panicum latzii R.D.Webster,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panicum luzonense C.Presl,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panicum miliaceum L.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panicum mindanaense Merr.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Panicum paludosum Roxb.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Panicum seminudum Domin,NA,NA,"Yates 2003, Liddle 2004",Seeder,None,NA,NA,NA,NA
Panicum seminudum Domin var. cairnsianum Domin,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panicum seminudum Domin var. seminudum,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Panicum simile Domin,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panicum trachyrhachis Benth.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Panicum trichoides Sw.,NA,NA,"KNP plots, JRS 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Paractaenum,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Paractaenum refractum (F.Muell.) R.D.Webster,NA,NA,Latz 2004,Seeder,None,NA,NA,NA,NA
Paraneurachne,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraneurachne muelleri (Hack.) S.T.Blake,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Paspalidium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paspalidium basicladum Hughes,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Paspalidium clementii (Domin) C.E.Hubb.,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA,NA,NA
Paspalidium constrictum (Domin) C.E.Hubb.,NA,NA,"Latz 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Paspalidium disjunctum S.T.Blake,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paspalidium distans (Trin.) Hughes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paspalidium gracile (R.Br.) Hughes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paspalidium jubiflorum (Trin.) Hughes,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA,NA,NA
Paspalidium rarum (R.Br.) Hughes,NA,NA,"KNP plots, Latz 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Paspalidium reflexum R.D.Webster,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Paspalidium retiglume (Domin) Hughes,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Paspalidium udum S.T.Blake,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paspalum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paspalum conjugatum Bergius,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paspalum dilatatum Poir.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Paspalum longifolium Roxb.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paspalum plicatulum Michx.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paspalum scrobiculatum L.,NA,NA,"Yates 2003, Albrecht 2004",Faculative resprouter,NA,NA,NA,NA,NA
Paspalum vaginatum Sw.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Perotis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perotis rara R.Br.,NA,NA,"KNP plots, Latz 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Pheidochloa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pheidochloa gracilis S.T.Blake,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phragmites,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phragmites australis (Cav.) Trin. ex Steud.,NA,NA,Latz 2004,Resprouter,Root suckers or rhizomes,NA,NA,NA,NA
Phragmites karka (Retz.) Steud.,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Piptatherum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piptatherum miliaceum (L.) Coss.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poa annua L.,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA,NA,NA
Poa pratensis L.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Polypogon,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polypogon monspeliensis (L.) Desf.,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA,NA,NA
Pseudochaetochloa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudochaetochloa australiensis Hitchc.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudopogonatherum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudopogonatherum contortum (Brongn.) A.Camus,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Pseudopogonatherum irritans (R.Br.) A.Camus,NA,NA,KNP plots,Faculative resprouter,NA,NA,NA,NA,NA
Pseudoraphis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoraphis minuta (Mez) Pilger,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Pseudoraphis minuta (Mez) Pilger var. laevis B.K.Simon,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Pseudoraphis minuta (Mez) Pilger var. minuta,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Pseudoraphis spinescens (R.Br.) Vickery,NA,NA,"KNP plots, Latz 2004","Resprouter, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Rostraria,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rostraria cristata (L.) Tzvelev,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rottboellia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rottboellia cochinchinensis (Lour.) Clayton,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Saccharum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saccharum spontaneum L.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacciolepis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacciolepis indica (L.) Chase,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacciolepis myosuroides (R.Br.) A.Camus,NA,NA,KNP plots,Faculative resprouter,NA,NA,NA,NA,NA
Schismus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schismus barbatus (L.) Juel,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA,NA,NA
Schizachyrium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schizachyrium crinizonatum S.T.Blake,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schizachyrium dolosum S.T.Blake,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schizachyrium fragile (R.Br.) A.Camus,NA,NA,"Yates 2003, Latz 2004",Seeder,None,NA,NA,NA,NA
Schizachyrium occultum S.T.Blake,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schizachyrium pachyarthron C.A.Gardner,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schizachyrium perplexum S.T.Blake,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schizachyrium pseudeulalia (Hosok.) S.T.Blake,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Sehima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sehima nervosum (Rottler.) Stapf,NA,NA,"Yates 2003, Albrecht 2004",Faculative resprouter,NA,NA,NA,NA,NA
Setaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setaria apiculata (Scribn. & Merr.) K.Schum.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Setaria dielsii R.A.W.Herm.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Setaria incrassata (Hochst.) Hack.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Setaria italica (L.) P.Beauv.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Setaria italica (L.) P.Beauv. subsp. italica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setaria oplismenoides R.A.W.Herrm.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setaria pumila (Poir.) Roem. & Schult.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setaria pumila (Poir.) Roem. & Schult. subsp. pumila,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setaria pumila (Poir.) Roem. & Schult. subsp. subtesselata (Buse) B.K.Simon,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setaria queenslandica Domin,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setaria sphacelata (K.Schum.) Moss,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setaria surgens Stapf,NA,NA,Latz 2004,Seeder,None,NA,NA,NA,NA
Setaria verticillata (L.) P.Beauv.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Sorghum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorghum almum Parodi,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Sorghum bicolor (L.) Moench,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Sorghum brachypodum Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorghum bulbosum Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorghum ecarinatum Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorghum exstans Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorghum grande Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorghum interjectum Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorghum intrans F.Muell. ex Benth.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Sorghum laxiflorum F.M.Bailey,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorghum macrospermum E.D.Garber,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorghum matarankense E.D.Garber & Synder,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorghum plumosum (R.Br.) P.Beauv.,NA,NA,"Yates 2003, Liddle 2004",Seeder,None,NA,NA,NA,NA
Sorghum plumosum (R.Br.) P.Beauv. var. plumosum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorghum stipoideum (Ewart & Jean White) C.A.Gardner & C.E.Hubb.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorghum timorense (Kunth) Buse in de Vriese,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Spathia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spathia neurosa Ewart & M.E.L.Archer,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Spinifex,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spinifex longifolius R.Br.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporobolus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporobolus actinocladus (F.Muell.) F.Muell.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Sporobolus africanus (Poir.) Robyns & Tournay,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporobolus australasicus Domin,NA,NA,"Yates 2003, Latz 2004",Seeder,None,NA,NA,NA,NA
Sporobolus blakei De Nardi ex B.K.Simon,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Sporobolus caroli Mez,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Sporobolus coromandelianus (Retz.) Kunth,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Sporobolus fertilis (Steud.) Clayton,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporobolus jacquemontii Kunth,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporobolus latzii B.K.Simon,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Sporobolus lenticularis S.T.Blake,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporobolus mitchellii (Trin.) C.E.Hubb. ex S.T.Blake,NA,NA,Latz 2004,Resprouter,Root suckers or rhizomes,NA,NA,NA,NA
Sporobolus natalensis (Steud.) Dur. & Schinz.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporobolus pulchellus R.Br.,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Sporobolus pyramidalis P.Beauv.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Sporobolus scabridus S.T.Blake,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Sporobolus virginicus (L.) Kunth,NA,NA,"Yates 2003, Latz 2004",Resprouter,Root suckers or rhizomes,NA,NA,NA,NA
Thaumastochloa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thaumastochloa brassii C.E.Hubb.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thaumastochloa major S.T.Blake,NA,NA,"Yates 2003, Liddle 2004",Seeder,None,NA,NA,NA,NA
Thaumastochloa monilifera Sosef & de Koning,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thaumastochloa pubescens (Benth.) C.E.Hubb.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Thaumastochloa rariflora (Bailey) C.E.Hubb.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thaumastochloa rubra Sosef & de Koning,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Thaumastochloa striata Sosef & de Koning,NA,NA,NA,NA,NA,NA,NA,NA,NA
Themeda,NA,NA,NA,NA,NA,NA,NA,NA,NA
Themeda arguens (L.) Hack.,NA,NA,KNP plots,Faculative resprouter,NA,NA,NA,NA,NA
Themeda avenacea (F.Muell.) Maiden & Betche,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Themeda quadrivalvis (L.) Kuntze,NA,NA,NA,NA,NA,NA,NA,NA,NA
Themeda triandra Forssk.,NA,NA,"Yates 2003, Latz 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Thuarea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thuarea involuta (G.Forst.) R.Br. ex Roem. & Schult.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thyridolepis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thyridolepis mitchelliana (Nees) S.T.Blake,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Thyridolepis multiculmis (Pilg.) S.T.Blake,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA,NA,NA
Thyridolepis xerophila (Domin) S.T.Blake,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Tragus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tragus australianus S.T.Blake,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Triodia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triodia aristiglumis (Lazarides) Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triodia aurita Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triodia basedowii E.Pritz.,NA,NA,"Latz 2004, Albrecht 2004","Seeder, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Triodia bitextura Lazarides,NA,NA,"KNP plots, Latz 2004, Albrecht 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Triodia brizoides N.T.Burb.,NA,NA,"Latz 2004, Albrecht 2004",Seeder,None,NA,NA,NA,NA
Triodia burbidgeana S.W.L.Jacobs,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Triodia bynoei (C.E.Hubb.) Lazarides,NA,NA,KNP plots,"Seeder, Resprouter","Basal stem buds (includes lignotuber and basal stem), None",NA,NA,NA,NA
Triodia claytonii Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triodia contorta (Lazarides) Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triodia epactia S.W.L.Jacobs,NA,NA,Unknown,NA,NA,NA,NA,NA,NA
Triodia gracilis (Lazarides) Crisp & Mant,NA,NA,KNP plots,Faculative resprouter,NA,NA,NA,NA,NA
Triodia helmsii (C.E.Hubb.) Lazarides,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Triodia hubbardii N.T.Burb.,NA,NA,"Latz 2004, Albrecht 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Triodia intermedia Cheel,NA,NA,"Albrecht 2004, Brock 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Triodia inutilis N.T.Burb.,NA,NA,"Albrecht 2004, Liddle 2004",NA,NA,NA,NA,NA,NA
Triodia irritans R.Br.,NA,NA,"Latz 2004, Albrecht 2004",Seeder,None,NA,NA,NA,NA
Triodia lanosa (Lazarides) Crisp & Mant,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Triodia latzii Lazarides,NA,NA,Albrecht 2004,NA,NA,NA,NA,NA,NA
Triodia longiceps J.M.Black,NA,NA,"Albrecht 2004, Brock 2004","Seeder, Resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Triodia longiloba Lazarides,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia melvillei (C.E.Hubb.) Lazarides,NA,NA,"Latz 2004, Albrecht 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Triodia microstachya R.Br.,NA,NA,KNP plots,Faculative resprouter,NA,NA,NA,NA,NA
Triodia mitchellii Benth.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia plectrachnoides N.T.Burb.,NA,NA,"KNP plots, Liddle 2004",Faculative resprouter,NA,NA,NA,NA,NA
Triodia procera R.Br.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia pungens R.Br.,NA,NA,"Yates 2003, Liddle 2004",Faculative resprouter,NA,NA,NA,NA,NA
Triodia racemigera C.A.Gardner,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Triodia radonensis S.W.L.Jacobs,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia roscida N.T.Burb.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia salina Lazarides,NA,NA,Albrecht 2004,NA,NA,NA,NA,NA,NA
Triodia schinzii (Henrard) Lazarides,NA,NA,"Latz 2004, Albrecht 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Triodia sp. Arnhemland (G.M.Wightman 1447 & L.A.Craven) M.D.Barrett,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia sp. Bradshaw (C.R.Michell 2655 & C.Yates) M.D.Barrett,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia sp. Bullita (G.M.Wightman 2590 & M.J.Clarke) M.D.Barrett,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia sp. Deaf Adder (K.G.Brennan 7934) K.G.Brennan,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia sp. Dinner Creek (K.G.Brennan 11241) Brennan & Cowie,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia sp. Gunlom (K.G.Brennan 1802) M.D.Barrett,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia sp. Hodgson Downs (I.D.Cowie 9896) M.D.Barrett,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia sp. Inverway (P.L.Wilson 898) M.D.Barrett,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia sp. Limmen NP (P.K.Latz 11178) M.D.Barrett,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia sp. Liverpool River (I.D.Cowie 9003) M.D.Barrett,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia sp. Marrawal (I.D.Cowie 13733 & N.Cuff) Cowie,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia sp. Matt Wilson (I.D.Cowie 2446 & P.S.Brocklehurst) Cowie,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia sp. Nabarlek (B.Rice 3119) M.D.Barrett,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia sp. Wollogorang (K.G.Brennan 6616) M.D.Barrett,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia spicata N.T.Burb.,NA,NA,"Latz 2004, Albrecht 2004, Brock 2004",Seeder,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Triodia stenostachya Domin,NA,NA,Yates 2003,Faculative resprouter,NA,NA,NA,NA,NA
Triodia triaristata Lazarides,NA,NA,"Albrecht 2004, Liddle 2004",NA,NA,NA,NA,NA,NA
Triodia triticoides C.A.Gardner,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia uniaristata (Lazarides) Lazarides,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Triodia wiseana C.A.Gardner,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Tripogon,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tripogon loliiformis (F.Muell.) C.E.Hubb.,NA,NA,"Latz 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Triraphis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triraphis mollis R.Br.,NA,NA,"Latz 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Triticum aestivum L.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uranthoecium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uranthoecium truncatum (Maiden & Betche) Stapf,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Urochloa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urochloa argentea (R.Br.) Hughes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urochloa atrisola R.D.Webster,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Urochloa decumbens (Stapf) R.D.Webster,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Urochloa distachya (L.) T.Q.Nguyen,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urochloa gilesii (Benth.) Hughes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urochloa gilesii (Benth.) Hughes var. gilesii,NA,NA,"Latz 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Urochloa gilesii (Benth.) Hughes var. nothochthona (Domin) B.K.Simon,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Urochloa holosericea (R.Br.) R.D.Webster,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urochloa holosericea (R.Br.) R.D.Webster subsp. holosericea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urochloa holosericea (R.Br.) R.D.Webster subsp. velutina R.D.Webster,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Urochloa humidicola (Rendle) O.Morrone & F.O.Zuloaga,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urochloa mosambicensis (Hack.) Dandy,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Urochloa mutica (Forssk.) T.Q.Nguyen,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Urochloa piligera (F.Muell. ex Benth.) R.D.Webster,NA,NA,"Latz 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Urochloa polyphylla (R.Br.) R.D.Webster,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Urochloa praetervisa (Domin) Hughes,NA,NA,Latz 2004,Seeder,None,NA,NA,NA,NA
Urochloa pubigera (Roem. & Schult.) R.D.Webster,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Urochloa ramosa (L.) R.D.Webster,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urochloa reptans (L.) Stapf,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urochloa subquadripara (Trin.) R.D.Webster,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Vulpia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vulpia fasciculata (Forssk.) Fritsch,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Vulpia myuros (L.) C.C.Gmel.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Whiteochloa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whiteochloa airoides (R.Br.) Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whiteochloa capillipes (Benth.) Lazarides,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Whiteochloa cymbiformis (Hughes) B.K.Simon,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Whiteochloa multiciliata Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whiteochloa semitonsa (F.Muell. ex Benth.) C.E.Hubb.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xerochloa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xerochloa barbata R.Br.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xerochloa imberbis R.Br.,NA,NA,Yates 2003,Faculative resprouter,NA,NA,NA,NA,NA
Xerochloa laniflora F.Muell. ex Benth.,NA,NA,"Yates 2003, Liddle 2004",Seeder,None,NA,NA,NA,NA
Yakirra,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yakirra australiensis (Domin) Lazarides & R.D.Webster,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yakirra australiensis (Domin) Lazarides & R.D.Webster var. australiensis,NA,NA,Latz 2004,Seeder,None,NA,NA,NA,NA
Yakirra australiensis (Domin) Lazarides & R.D.Webster var. intermedia R.D.Webster,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yakirra majuscula (F.Muell. ex Benth.) Lazarides & R.D.Webster,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Yakirra muelleri (Hughes) Lazarides & R.D.Webster,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
