name_original,raw_trait_value,trait,units
Amorphospermum antilogum,berry,fruit type,CATEGORICAL
Amorphospermum whitei,berry,fruit type,CATEGORICAL
Amyema congener,berry,fruit type,CATEGORICAL
Amyema miquelii,berry,fruit type,CATEGORICAL
Austromrytus dulcis,berry,fruit type,CATEGORICAL
Billardiera longifolia,berry,fruit type,CATEGORICAL
Capparis mitchellii,berry,fruit type,CATEGORICAL
Cassytha glabella,berry,fruit type,CATEGORICAL
Cinnamomum cunningham.,berry,fruit type,CATEGORICAL
Citriobatus pauciflor.,berry,fruit type,CATEGORICAL
Cucumis melo,berry,fruit type,CATEGORICAL
Decaspermum paniculatum,berry,fruit type,CATEGORICAL
Dendrophthoe glabrescens,berry,fruit type,CATEGORICAL
Diospyros ferrea,berry,fruit type,CATEGORICAL
Duboisia myoporoides,berry,fruit type,CATEGORICAL
Endiandra globosa,berry,fruit type,CATEGORICAL
Eugenia reinwardtiana,berry,fruit type,CATEGORICAL
Flagellaria indica,berry,fruit type,CATEGORICAL
